고유번호,법정동코드,공시지가,원천시도시군구코드
4413110700103000000,4413110700,714200,44130
4413110700103060000,4413110700,614900,44130
4413110700103090000,4413110700,499700,44130
4413110700103730000,4413110700,1233000,44130
4413110700104410000,4413110700,871900,44130
4413110700104450000,4413110700,669000,44130
4413110700104470000,4413110700,859200,44130
4413110700104500000,4413110700,601500,44130
4413110700104510000,4413110700,491400,44130
4413110700104520000,4413110700,514200,44130
4413110700104540000,4413110700,916400,44130
4413110700104560000,4413110700,556400,44130
4413110700104610000,4413110700,673500,44130
4413110700104620000,4413110700,1227000,44130
4413110700104660000,4413110700,593600,44130
4413110700104690000,4413110700,803000,44130
4413110700104730000,4413110700,605500,44130
4413110700104750000,4413110700,676200,44130
4413110700104760000,4413110700,834800,44130
4413110700104790000,4413110700,693400,44130
4413110700104810000,4413110700,708200,44130
4413110700104820000,4413110700,591500,44130
4413110700104840000,4413110700,641200,44130
4413110700104840000,4413110700,923200,44130
4413110700104910000,4413110700,495500,44130
4413110700104940000,4413110700,603600,44130
4413110700104980000,4413110700,1156000,44130
4413110700105080000,4413110700,605000,44130
4413110700105100000,4413110700,1178000,44130
4413110700105110000,4413110700,532400,44130
4413110700105120000,4413110700,684200,44130
4413110700105140000,4413110700,660000,44130
4413110700105160000,4413110700,699300,44130
4413110700105170000,4413110700,1074000,44130
4413110700105190000,4413110700,651100,44130
4413110700105200000,4413110700,662400,44130
4413110700105230000,4413110700,698200,44130
4413110700105260000,4413110700,1055000,44130
4413110700105300000,4413110700,686600,44130
4413110700105340000,4413110700,596100,44130
4413110700105370000,4413110700,596100,44130
4413110700105390000,4413110700,518500,44130
4413110700105430000,4413110700,826600,44130
4413110700105470000,4413110700,904500,44130
4413110700105500000,4413110700,635500,44130
4413110700105520000,4413110700,513600,44130
4413110700105550000,4413110700,869000,44130
4413110700105560000,4413110700,562300,44130
4413110700105570000,4413110700,515600,44130
4413110700105590000,4413110700,886600,44130
4413110700105600000,4413110700,613600,44130
4413110700105600000,4413110700,519000,44130
4413110700105620000,4413110700,736700,44130
4413110700105650000,4413110700,663300,44130
4413110700105650000,4413110700,545400,44130
4413110700105660000,4413110700,1060000,44130
4413110700105680000,4413110700,701100,44130
4413110700105680000,4413110700,554900,44130
4413110700105720000,4413110700,597900,44130
4413110700105720000,4413110700,651100,44130
4413110700105760000,4413110700,534200,44130
4413110700105760000,4413110700,812700,44130
4413110700105790000,4413110700,1046000,44130
4413110700105800000,4413110700,685200,44130
4413110700105840000,4413110700,1043000,44130
